Image Index,Method,Jaccard Index (IoU),F1 Score,Pixel Accuracy
0,LRP + saliency (sqrt),0.6744820986264355,0.005693226265295363,0.002855459279944757
0,LRP + saliency (multiply),0.4019950845742374,0.0033074539277710394,0.0016566978412165404
0,LRP + rollout (sqrt),0.6477263056367195,0.005425663151458885,0.0027208071501472536
0,LRP + rollout (multiply),0.4106707670883138,0.00336734939051095,0.0016867264577731516
0,LRP + CAM (sqrt),0.0,0.0,0.0
0,LRP + CAM (multiply),0.0,0.0,0.0
0,saliency + rollout (sqrt),0.5042531202798315,0.0045224505840458906,0.002267518033554596
0,saliency + rollout (multiply),0.2843244127105249,0.0024823602051462636,0.001243208557679074
0,saliency + CAM (sqrt),0.0,0.0,0.0
0,saliency + CAM (multiply),0.0,0.0,0.0
0,rollout + CAM (sqrt),0.0,0.0,0.0
0,rollout + CAM (multiply),0.0,0.0,0.0
1,LRP + saliency (sqrt),0.7808127914723517,0.008011670241840333,0.004026127229742774
1,LRP + saliency (multiply),0.7410557184750733,0.006916773586519545,0.003472362972546072
1,LRP + rollout (sqrt),0.7266553480475382,0.00818725196226923,0.004116818150276229
1,LRP + rollout (multiply),0.7771746325963194,0.008025023856331566,0.004032997754025612
1,LRP + CAM (sqrt),0.6886102403343782,0.008102209973054107,0.004074907952150921
1,LRP + CAM (multiply),0.5541811622213633,0.005885480133254605,0.0029550124940484084
1,saliency + rollout (sqrt),0.46787100863639963,0.008044811164917266,0.004057044589015543
1,saliency + rollout (multiply),0.49688127709060154,0.0064222565349876335,0.0032291464129336244
1,saliency + CAM (sqrt),0.5581530139103554,0.007884658553210187,0.003969788930623507
1,saliency + CAM (multiply),0.13032389696505994,0.0014015695659179972,0.0007021675817059924
1,rollout + CAM (sqrt),0.523980277902286,0.007971354946229154,0.004015821443318518
1,rollout + CAM (multiply),0.377444860590928,0.004960550090549181,0.002492626209813445
2,LRP + saliency (sqrt),0.0,0.0,0.0
2,LRP + saliency (multiply),0.0,0.0,0.0
2,LRP + rollout (sqrt),0.0,0.0,0.0
2,LRP + rollout (multiply),0.0,0.0,0.0
2,LRP + CAM (sqrt),0.0,0.0,0.0
2,LRP + CAM (multiply),0.0,0.0,0.0
2,saliency + rollout (sqrt),0.026145849740116554,0.0002610856207487574,0.00013068700030428027
2,saliency + rollout (multiply),0.0011465150718960493,9.446306700717978e-06,4.723626517022178e-06
2,saliency + CAM (sqrt),0.0,0.0,0.0
2,saliency + CAM (multiply),0.0,0.0,0.0
2,rollout + CAM (sqrt),0.0,0.0,0.0
2,rollout + CAM (multiply),0.0,0.0,0.0
3,LRP + saliency (sqrt),0.8517441860465116,0.007813336074854764,0.003924056432541402
3,LRP + saliency (multiply),0.6715657620041754,0.00565181793584252,0.0028343148761000502
3,LRP + rollout (sqrt),0.7584813146037636,0.008026414877370517,0.004034369856592549
3,LRP + rollout (multiply),0.7414249963197409,0.0070701313796477355,0.0035501185957418314
3,LRP + CAM (sqrt),0.6043994658795417,0.006038007148719627,0.00303097586849794
3,LRP + CAM (multiply),0.41845088161209065,0.003738642449415626,0.0018735660135970988
3,saliency + rollout (sqrt),0.7333807604141965,0.006516085488681831,0.0032699295474330104
3,saliency + rollout (multiply),0.20243544347525694,0.001650869312283341,0.0008261171436929269
3,saliency + CAM (sqrt),0.6261233019853709,0.0063092811294371345,0.0031677222216348238
3,saliency + CAM (multiply),0.44895898073337476,0.004063360009900001,0.0020367452958197202
3,rollout + CAM (sqrt),0.3749624737316121,0.0043844668414602765,0.0022009818952057713
3,rollout + CAM (multiply),0.01408129091185873,0.00013032225523719354,6.520122507815336e-05
4,LRP + saliency (sqrt),0.36829652996845424,0.002993748706528541,0.001499268665092274
4,LRP + saliency (multiply),0.14836316723109175,0.001180726058827323,0.0005907182748971701
4,LRP + rollout (sqrt),0.3863150955833883,0.0031305458562147616,0.0015678647546229056
4,LRP + rollout (multiply),0.25563547878172044,0.0020439557385233276,0.0010230555630465481
4,LRP + CAM (sqrt),0.02092115130983475,0.00017310494749560044,8.657447181011061e-05
4,LRP + CAM (multiply),0.013643891795262757,0.00011106342588297831,5.554035954196219e-05
4,saliency + rollout (sqrt),0.4306161018016883,0.003649847446030516,0.0018287653260358225
4,saliency + rollout (multiply),0.22431352326930515,0.0018599802585543591,0.0009310233680444529
4,saliency + CAM (sqrt),0.016469243557772236,0.0001356645524893964,6.784699026898656e-05
4,saliency + CAM (multiply),0.013561259482489868,0.00011169996106550207,5.586140208266717e-05
4,rollout + CAM (sqrt),0.01844198780865792,0.00015277820424199168,7.640812468778613e-05
4,rollout + CAM (multiply),0.014661300439054987,0.00012004778800716179,6.003495511183196e-05
5,LRP + saliency (sqrt),0.4659917747548244,0.003862870079032473,0.001935432055149959
5,LRP + saliency (multiply),0.22104493971501643,0.001786954053948947,0.0008942996894341079
5,LRP + rollout (sqrt),0.6217968390363664,0.0053088841026286,0.002662204530034427
5,LRP + rollout (multiply),0.2913351193570315,0.00239026859519722,0.0011966698874594877
5,LRP + CAM (sqrt),0.651103631809643,0.005449144159783043,0.0027325002631983933
5,LRP + CAM (multiply),0.3688269783181836,0.003073680613660515,0.0015394437078174274
5,saliency + rollout (sqrt),0.44448195536950136,0.004311859513158769,0.0021624150066280007
5,saliency + rollout (multiply),0.31804754536503027,0.0029644824259194885,0.0014854079690068084
5,saliency + CAM (sqrt),0.6452040378843981,0.005421939497915433,0.0027188681467203344
5,saliency + CAM (multiply),0.2765254337306739,0.0023058984778084744,0.0011544595990876665
5,rollout + CAM (sqrt),0.665492548867815,0.005630478135435055,0.002823819019364668
5,rollout + CAM (multiply),0.4309336637880959,0.0036479014568331115,0.0018276890622631317
6,LRP + saliency (sqrt),0.740210843373494,0.007450800932676556,0.0037428975852979896
6,LRP + saliency (multiply),0.4361029577782795,0.0036700524951464196,0.001838608007630485
6,LRP + rollout (sqrt),0.7387957107506187,0.0076356991907731275,0.0038366604062928657
6,LRP + rollout (multiply),0.3916113845495399,0.0034767211669624095,0.001741989466199217
6,LRP + CAM (sqrt),0.0015641802717763222,1.5218738452187717e-05,7.615254497045757e-06
6,LRP + CAM (multiply),0.0,0.0,0.0
6,saliency + rollout (sqrt),0.6817614251227837,0.0077533726934544585,0.003898058395675297
6,saliency + rollout (multiply),0.612199006839689,0.006194442350873351,0.003109879555231061
6,saliency + CAM (sqrt),0.0,0.0,0.0
6,saliency + CAM (multiply),0.0,0.0,0.0
6,rollout + CAM (sqrt),0.0,0.0,0.0
6,rollout + CAM (multiply),0.0,0.0,0.0
7,LRP + saliency (sqrt),0.47780425738175064,0.00388360224545686,0.0019456782553143055
7,LRP + saliency (multiply),0.33191906005221933,0.0026728740245496384,0.0013382397738809018
7,LRP + rollout (sqrt),0.5463502915745023,0.004458753738124281,0.002234511716835306
7,LRP + rollout (multiply),0.3898325600161388,0.0031732644424257114,0.0015892419733575804
7,LRP + CAM (sqrt),0.01363984674329502,0.00011707374182313085,5.85562142946904e-05
7,LRP + CAM (multiply),0.0,0.0,0.0
7,saliency + rollout (sqrt),0.3589365834058796,0.0035171948009167673,0.0017632657787614637
7,saliency + rollout (multiply),0.18383891213389122,0.0016169229834052641,0.0008094245240004816
7,saliency + CAM (sqrt),0.0,0.0,0.0
7,saliency + CAM (multiply),0.0,0.0,0.0
7,rollout + CAM (sqrt),0.0,0.0,0.0
7,rollout + CAM (multiply),0.0,0.0,0.0
8,LRP + saliency (sqrt),0.18022572562584535,0.0014223856161254568,0.0007116989632468953
8,LRP + saliency (multiply),0.0664759750770527,0.0005248802977916599,0.00026250904180784843
8,LRP + rollout (sqrt),0.1656577751169649,0.0013074869421938863,0.0006541711312029472
8,LRP + rollout (multiply),0.04736246923435109,0.00037399230216687043,0.00018703112518397743
8,LRP + CAM (sqrt),0.04608657630083078,0.0003690699751770678,0.00018457940631452454
8,LRP + CAM (multiply),0.02859093812639045,0.0002272775623728513,0.00011365468187678029
8,saliency + rollout (sqrt),0.152604143658612,0.0012091732302102892,0.0006049616310375
8,saliency + rollout (multiply),0.06299474489456529,0.0004974000735332738,0.00024876190386127333
8,saliency + CAM (sqrt),0.02685203663052396,0.00021205119696859594,0.00010603684110383739
