Image Index,Method,Jaccard Index (IoU),F1 Score,Pixel Accuracy
0,LRP,0.5733187953085401,0.004625550346577473,0.0023182806948764865
0,saliency,0.36997770891099874,0.0032370160515325344,0.001621783616410639
0,rollout,0.294749250442047,0.0027356052508779767,0.0013705918556910484
0,CAM,0.0,0.0,0.0
1,LRP,0.7952915708293871,0.00803680688009735,0.004038494173451882
1,saliency,0.0,0.0,0.0
1,rollout,0.4351362683438155,0.007076158364669664,0.0035651150503643782
1,CAM,0.419393575502852,0.005726642002889966,0.0028794367269371957
2,LRP,0.0,0.0,0.0
2,saliency,0.001574728001527009,1.298858991735124e-05,6.494986460905495e-06
2,rollout,0.00482090751469531,4.484521026601274e-05,2.2437225955855347e-05
2,CAM,0.0,0.0,0.0
3,LRP,0.7724680574604779,0.007508559484161051,0.003771450321953076
3,saliency,0.1675736373844692,0.0013665291919515658,0.000683731765684419
3,rollout,0.4171968474029057,0.006154132765941949,0.0030968819716850463
3,CAM,0.0,0.0,0.0
4,LRP,0.29709874900186317,0.0023860152401860373,0.0011944922797830094
4,saliency,0.17496132026817948,0.001450868585947338,0.0007260912128944382
4,rollout,0.3266739951249821,0.0029200139400226573,0.001462883843812376
4,CAM,0.01639940743820984,0.00013502292447457412,6.752594772828158e-05
5,LRP,0.3417747246046909,0.0027580325072575486,0.0013809498234640916
5,saliency,0.44606158378340466,0.004166527443916162,0.0020889986684871293
5,rollout,0.1479399129256408,0.0016812188263087319,0.0008427275861315716
5,CAM,0.47181113460183227,0.003950057066213196,0.0019792847671938354
6,LRP,0.5283384301732925,0.00491881301250487,0.00246686650363676
6,saliency,0.6001602564102564,0.006388365422841841,0.0032084019102865905
6,rollout,0.4618941699836104,0.007453477163749333,0.0037557483272617543
6,CAM,0.0,0.0,0.0
7,LRP,0.45011356262167423,0.0036441039019460887,0.0018254406355125675
7,saliency,0.0,0.0,0.0
7,rollout,0.3746614684086783,0.004126613510307765,0.0020706859038085884
7,CAM,0.0,0.0,0.0
8,LRP,0.1692942193840218,0.0013361691269854186,0.0006685311988668856
8,saliency,0.017960486928756736,0.00014183938895591237,7.092472443774425e-05
8,rollout,0.12705707931801336,0.0010498155779051883,0.0005252807677802811
8,CAM,0.03968410229485244,0.00031760524941598016,0.00015883635818526921
9,LRP,0.6748378481495613,0.005637459183201886,0.002826984173283941
9,saliency,0.2545160420598544,0.0030075080175655674,0.0015087904223774079
9,rollout,0.36439709364029715,0.007068478008695645,0.0035669947300220124
9,CAM,0.05485982063504888,0.0005420090976107297,0.00027131056588831036
10,LRP,0.7836865767501605,0.007070065613360929,0.003549078030852139
10,saliency,0.47995606809445357,0.005065324722667676,0.0025421194877600145
10,rollout,0.43934901911310165,0.008029744062716164,0.00405168472133833
10,CAM,0.0,0.0,0.0
11,LRP,0.16429931175867624,0.0014761720569312989,0.0007389498350534882
11,saliency,0.0,0.0,0.0
11,rollout,0.25996932515337423,0.003996112598429322,0.002009390326870047
11,CAM,0.008702475212211997,8.030185599310194e-05,4.0174634526080914e-05
12,LRP,0.21840498179958484,0.0017403396466990659,0.0008709543212050744
12,saliency,0.0,0.0,0.0
12,rollout,0.48474842767295595,0.004425699778786787,0.002219134026673756
12,CAM,0.0,0.0,0.0
13,LRP,0.12416580310880829,0.0009780806110824321,0.0004892797428141172
13,saliency,0.025908883638021806,0.00020415197759162564,0.00010208640936699157
13,rollout,0.3497587516682065,0.00277849747957576,0.0013912335868533612
13,CAM,0.017410769804750655,0.00013719472234768917,6.860206709461835e-05
14,LRP,0.6135691137100183,0.005209549944294484,0.0026120302754373778
14,saliency,0.7662799129804206,0.006318220805284656,0.003169287394711996
14,rollout,0.5469837858044017,0.006980990130540221,0.0035108998052899238
14,CAM,0.0,0.0,0.0
15,LRP,0.7963450773789924,0.006674794543421008,0.003349020254060263
15,saliency,0.04830771560536079,0.00044141725381042373,0.00022086778189895056
15,rollout,0.4482571940199059,0.0073938194565844936,0.003726364897116464
15,CAM,0.0,0.0,0.0
